"Matrix","nitrogen","oxygen","ph","phosphorus","temperature","turbidity","electricalconductivity","nitrate","nitrite","salinity","sodium","Season01","Month","Seasonr","PercHighIntens","PercAgri","Region"
"water","*","*","*","*","*","*","*","0.346","0.0102","*","*","dry","7","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","*","*","0.356","0.0091","*","*","dry","7","dry","0.319532683450454","2.56927814499865","Suisun"
"water","0.18","7.64","7.78","0.26","22.2","75","*","*","*","*","*","dry","7","dry","0.557554028377577","77.3952613874278","North"
"water","4.3","7.6","7.05","0.86","17.3","3.9","*","*","*","*","*","dry","7","dry","0.557554028377577","77.3952613874278","North"
"water","*","7.98","7.65","*","20.5","*","*","*","*","*","*","dry","7","dry","0.557554028377577","77.3952613874278","North"
"water","0.38","7.35","7.36","0.3","22.1","24","*","*","*","*","*","dry","7","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","5.5","7.14","*","25.67","*","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","*","6.37","7.2","*","25.44","*","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","*","6.5","8.12","*","25","*","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","0.92","5.09","6.76","0.24","22.03","34","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","0.615","5.52","7.18","0.18","20.83","12","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","*","6.3","7.41","*","26","*","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","0.505","4.53","7.15","0.15","19.6","5.9","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","*","6.5","7.34","*","26","*","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","*","7.91","7.43","*","20.76","1.33","*","*","*","*","*","dry","8","dry","1.14840511162082","84.316574777162","Central"
"water","*","8.65","7.52","*","20.5","5.63","*","*","*","*","*","dry","8","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.685","4.83","7.5","0.18","24.45","11","*","*","*","*","*","dry","8","dry","2.99070155978253","76.522191638251","South"
"water","*","7.1","7.44","*","25","*","*","*","*","*","*","dry","8","dry","2.99070155978253","76.522191638251","South"
"water","0.31","7.44","8.38","0.24","21.4","56","*","*","*","*","*","dry","8","dry","0.557554028377577","77.3952613874278","North"
"water","4.1","8.44","7.85","0.85","17.7","3.3","*","*","*","*","*","dry","8","dry","0.557554028377577","77.3952613874278","North"
"water","0.12","4.45","7.39","0.27","23","22","*","*","*","*","*","dry","8","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.62","8.27","*","20.5","*","*","0.268","0.00868","4.2","*","dry","9","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.6","7.54","*","20.5","*","*","0.231","0.0077","1.9","*","dry","9","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.3","8.04","*","19.9","*","*","0.347","0.0132","12.36","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.1","8.43","*","21","*","*","0.324","0.0109","9.2","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","8.94","8.25","*","20.05","*","*","0.226","0","9.32","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.3","8.44","*","20.1","*","*","0.326","0.0111","8.865","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","8.21","8.3","*","19.78","*","*","0.323","0.006","11.185","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","8.5","8.18","*","19.37","*","*","0.263","0","9.25","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.2","8.32","*","19.9","*","*","0.319","0.00966","9.1","*","dry","9","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","*","*","*","*","*","*","0.228","0.008","1.8","*","dry","9","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","8.31","7.86","*","21.03","*","*","0.197","0","0.565","*","dry","9","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","7.61","7.24","*","25","*","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","*","6.28","7.4","*","25","*","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","*","5.9","8.17","*","26","*","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","0.785","3.66","7.17","0.2","27.19","6.1","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","0.725","5.55","7.46","0.19","21.57","14","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","*","6.3","7.52","*","26","*","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","0.74","2.16","7.37","0.18","20.18","6.6","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","*","5.3","7.84","*","26","*","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","0.7","6.88","7.28","0.15","22.84","20","*","*","*","*","*","dry","9","dry","2.99070155978253","76.522191638251","South"
"water","*","7.3","7.57","*","26","*","*","*","*","*","*","dry","9","dry","2.99070155978253","76.522191638251","South"
"water","*","9.27","7.04","*","17.85","2.19","*","*","*","*","*","dry","9","dry","1.14840511162082","84.316574777162","Central"
"water","0.072","7.05","7.98","0.22","20.8","16","*","*","*","*","*","dry","9","dry","0.557554028377577","77.3952613874278","North"
"water","2.3","3.9","7.63","0.66","18.8","3.5","*","*","*","*","*","dry","9","dry","0.557554028377577","77.3952613874278","North"
"water","*","7.5","7.82","*","20","*","*","*","*","*","*","dry","9","dry","0.557554028377577","77.3952613874278","North"
"water","*","8.96","7.13","*","19.48","7.31","*","*","*","*","*","dry","9","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.14","7.76","7.44","0.22","21.4","24","*","*","*","*","*","dry","9","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.46","8.6","7.6","0.036","17.9","7.6","151","0.071","0.0051","*","*","dry","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.15","8.8","7.8","0.032","17.7","6.3","144","0.082","0.0042","*","*","dry","10","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","8.3","8.28","*","26","*","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","0.57","9.19","7.1","0.13","24.51","12","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","0.755","8.58","7.29","0.15","17.21","5","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","8.3","7.58","*","25","*","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","0.96","3.38","7.27","0.32","19.64","21","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","*","7.9","7.49","*","25","*","*","*","*","*","*","dry","10","dry","1.14840511162082","84.316574777162","Central"
"water","2.145","7.79","7.49","0.12","21.23","9.7","*","*","*","*","*","dry","10","dry","2.99070155978253","76.522191638251","South"
"water","*","7","7.62","*","25","*","*","*","*","*","*","dry","10","dry","2.99070155978253","76.522191638251","South"
"water","0.07","7","7.86","0.23","18.3","22","*","*","*","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","4.6","3.13","7.56","2","15.7","4","*","*","*","*","*","wet","10","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.26","7.97","*","16.7","32","*","*","*","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.69","9.5","7.4","0.045","16.1","4.6","149","0.093","0.0042","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.43","9","7.8","0.032","15.8","5.4","131","0.11","0.0042","*","*","wet","10","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","8.4","7.59","*","24","*","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","1.185","7.72","7.02","0.21","12.25","30","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","0.89","7.67","6.67","0.14","13.09","3","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","*","8","7.6","*","24","*","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","0.685","4.1","7.22","0.19","12.37","5.8","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","*","5.3","7.34","*","24","*","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","*","10.23","7.29","*","13.9","4.37","*","*","*","*","*","wet","11","wet","1.14840511162082","84.316574777162","Central"
"water","0.17","7.71","7.83","0.19","15.6","23","*","*","*","*","*","wet","11","wet","0.557554028377577","77.3952613874278","North"
"water","10","7.4","7.56","1.4","12.2","13","*","*","*","*","*","wet","11","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.74","8.12","*","14","30","*","*","*","*","*","wet","11","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.57","7.2","*","14.6","3.81","*","*","*","*","*","wet","11","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","4.68","14.1","8.49","0.13","14.7","5.06","*","*","*","*","*","wet","11","wet","2.99070155978253","76.522191638251","South"
"water","*","6.5","8.17","*","25","*","*","*","*","*","*","wet","11","wet","2.99070155978253","76.522191638251","South"
"water","0.79","11.8","7.2","0.079","11.1","10","150","0.15","0.0042","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","0.35","12.6","7.5","0.041","11","15","145","0.15","0.0042","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","7.9","7.78","*","25","*","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","1.35","9.63","7.22","0.25","10.45","45","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","3.85","6.21","7.27","0.13","10.23","10","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.4","7.31","*","25","*","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","1.03","3.68","7.28","0.19","8.06","11","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","*","5.3","8.21","*","25","*","*","*","*","*","*","wet","12","wet","1.14840511162082","84.316574777162","Central"
"water","0.25","8.69","7.78","0.18","11.1","17","*","*","*","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","6.3","8","7.71","0.81","11.3","15","*","*","*","*","*","wet","12","wet","0.557554028377577","77.3952613874278","North"
"water","*","10.9","7.72","*","13.1","27","*","*","*","*","*","wet","12","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","5.875","11.41","8.21","0.18","13.22","4.7","*","*","*","*","*","wet","12","wet","2.99070155978253","76.522191638251","South"
"water","*","7.9","7.67","*","26","*","*","*","*","*","*","wet","12","wet","2.99070155978253","76.522191638251","South"
"water","*","5.9","8.52","*","24","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.29","7.01","*","8.63","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.8","8.59","*","24","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.72","6.75","*","6.93","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.8","8.53","*","25","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","1.8","9.67","7","0.53","10.46","270","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","2.705","7.86","7.42","0.2","9.03","9.3","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","6.2","8.78","*","25","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.94","7.77","*","7.31","*","*","*","*","*","*","dry","1","wet","5.03726244534141","31.7753006222671","Confluence"
"water","5.01","7.74","7.08","0.38","7.5","2.8","*","*","*","*","*","dry","1","wet","2.99070155978253","76.522191638251","South"
"water","*","8.6","7.09","*","25","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","9.91","6.03","*","13.74","*","*","*","*","*","*","dry","1","wet","1.14840511162082","84.316574777162","Central"
"water","*","14.8","10","*","*","*","*","*","*","*","*","wet","1","dry","0.557554028377577","77.3952613874278","North"
"water","0.625","10.6","7.78","0.23","10.3","25","*","*","*","*","*","wet","1","dry","0.557554028377577","77.3952613874278","North"
"water","6.05","10.21","6.94","0.72","13.1","3.5","*","*","*","*","*","wet","1","dry","0.557554028377577","77.3952613874278","North"
"water","*","17.2","8.11","*","*","*","*","*","*","*","*","wet","1","dry","0.557554028377577","77.3952613874278","North"
"water","2.35","7.5","8.04","0.48","13.1","28","*","*","*","*","*","wet","1","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.6","9.62","*","*","*","*","*","*","*","*","wet","1","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","8.2","8.24","*","24","*","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.6","7.34","*","10.1","*","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.65","7.56","*","12.81","*","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","8","8.04","*","26","*","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","1.255","12.21","7.96","0.19","9.29","75","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","1.405","9.81","7.22","0.15","12.3","20","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.1","8.24","*","25","*","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","11.84","7.83","*","8.9","3.67","*","*","*","*","*","dry","2","wet","1.14840511162082","84.316574777162","Central"
"water","*","11.39","7.72","*","10.19","61.5","*","*","*","*","*","dry","2","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","2.76","11.28","7.96","0.18","11.61","9.3","*","*","*","*","*","dry","2","wet","2.99070155978253","76.522191638251","South"
"water","*","8.6","8.24","*","*","*","*","*","*","*","*","wet","2","wet","0.557554028377577","77.3952613874278","North"
"water","0.51","12.4","8.1","0.22","10.8","23","*","*","*","*","*","wet","2","wet","0.557554028377577","77.3952613874278","North"
"water","3.31","10.4","7.45","0.88","11.5","16","*","*","*","*","*","wet","2","wet","0.557554028377577","77.3952613874278","North"
"water","*","7.9","8.38","*","*","*","*","*","*","*","*","wet","2","wet","0.557554028377577","77.3952613874278","North"
"water","0.83","10.3","8.21","0.56","14.1","50","*","*","*","*","*","dry","2","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","10.1","9.78","*","*","*","*","*","*","*","*","dry","2","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.12","10.3","7.7","0.034","10.5","11","164","0.12","0.0042","*","*","wet","2","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","7.6","7.55","*","26","*","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.81","7.25","*","16.17","*","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","*","8.41","6.68","*","14","*","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.67","7.85","*","17.33","*","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","*","6.6","8.44","*","26","*","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.6","7.76","*","26","*","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","0.915","7.86","6.64","0.17","18.28","55","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","1.85","6.85","7.52","0.17","12.61","6.4","*","*","*","*","*","wet","3","wet","1.14840511162082","84.316574777162","Central"
"water","*","7.47","7.78","*","11.94","*","*","*","*","*","*","wet","3","wet","5.03726244534141","31.7753006222671","Confluence"
"water","4.7","14.7","7.87","0.29","14.14","30","*","*","*","*","*","wet","3","wet","2.99070155978253","76.522191638251","South"
"water","*","7.5","8.32","*","*","*","*","*","*","*","*","wet","3","wet","0.557554028377577","77.3952613874278","North"
"water","0.635","10.4","7.55","0.16","14.9","16","*","*","*","*","*","wet","3","wet","0.557554028377577","77.3952613874278","North"
"water","2.25","10.3","7.2","0.5","14.8","35","*","*","*","*","*","wet","3","wet","0.557554028377577","77.3952613874278","North"
"water","*","8.5","8.15","*","*","*","*","*","*","*","*","wet","3","wet","0.557554028377577","77.3952613874278","North"
"water","1.55","7.5","7.65","0.5","15.9","27","*","*","*","*","*","wet","3","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","8.6","8.36","*","*","*","*","*","*","*","*","wet","3","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.6","7.46","0.0701","14.73","*","*","0.369","0.00798","0.08","*","dry","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.58","7.59","0.0777","14.06","*","*","0.206","0.00518","0.08","*","dry","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.63","7.58","0.082","13.72","*","*","0.132","0.00336","0.08","*","dry","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.54","7.56","0.0775","14.69","*","*","0.266","0.00644","0.08","*","dry","4","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.65","7.57","0.0437","14.17","*","*","0.192","0.00462","0.08","*","dry","4","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.71","7.79","0.0539","14.69","*","*","0.2","0.00476","0.08","*","dry","4","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","10","7.6","*","14.3","*","*","*","*","*","*","dry","4","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.97","7.61","0.0539","14.3","*","*","0.178","0.00406","0.08","*","dry","4","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.2","7.6","*","14.7","*","*","*","*","*","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.7","7.8","*","13.7","*","*","*","*","*","*","dry","4","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","8.4","7.86","*","24","*","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","*","8.04","7","*","16.34","*","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","*","11.06","8.81","*","14.56","*","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","*","8.4","8.13","*","25","*","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","*","8.3","7.41","*","25","*","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","0.945","7.74","6.96","0.14","17.88","65","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","1.4","8.5","7.16","0.15","12.45","11","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","*","8","8","*","24","*","*","*","*","*","*","dry","4","dry","1.14840511162082","84.316574777162","Central"
"water","*","7.42","7.9","*","14.81","*","*","*","*","*","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","8","7.94","*","26","*","*","*","*","*","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.84","7.61","0.0626","14.65","*","*","0.192","0","0.08","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","10.27","7.69","0.0394","14.77","*","*","0.137","0.00378","0.08","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","10.25","7.7","0.0388","14.41","*","*","0.128","0.0035","0.08","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","1.9","4.67","7.29","0.44","15.89","14","*","*","*","*","*","wet","4","dry","2.99070155978253","76.522191638251","South"
"water","*","10.2","7.71","0.0544","14.16","*","*","0.164","0.0042","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.13","7.72","0.0425","14.79","*","*","0.17","0.00378","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.34","7.79","0.0401","14.18","*","*","0.166","0.00336","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.2","7.7","*","14.6","*","*","*","*","*","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.23","7.71","0.0344","14.62","*","*","0.166","0.00336","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.4","7.7","*","15.3","*","*","*","*","*","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.6","7.7","*","15.4","*","*","*","*","*","*","wet","4","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","0.21","9.6","7.7","0.035","14.3","12","131","0.11","0.0042","*","*","wet","4","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.7","10.08","*","*","*","*","*","*","*","*","dry","4","dry","0.557554028377577","77.3952613874278","North"
"water","0.81","7.46","8.08","0.14","16.02","12","*","*","*","*","*","dry","4","dry","0.557554028377577","77.3952613874278","North"
"water","3.5","7.16","7.96","0.85","16.11","4.1","*","*","*","*","*","dry","4","dry","0.557554028377577","77.3952613874278","North"
"water","*","6.8","8.55","*","*","*","*","*","*","*","*","dry","4","dry","0.557554028377577","77.3952613874278","North"
"water","*","11.87","8.64","*","18.2","*","*","*","*","*","*","dry","4","dry","0.557554028377577","77.3952613874278","North"
"water","1.495","8.7","6.84","0.6","17.1","14","*","*","*","*","*","wet","4","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","6.7","8.55","*","*","*","*","*","*","*","*","wet","4","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.17","7.69","0.0437","15.64","*","*","0.101","0.01","0.09","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.57","7.69","0.0431","15.8","*","*","0.174","0.00266","0.08","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.13","7.66","0.0633","15.77","*","*","0.16","0.01","0.08","*","wet","4","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.7","7.71","0.0789","16.04","*","*","0.106","0.0028","0.09","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.57","7.69","0.0443","15.78","*","*","0.183","0.00266","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.91","7.8","0.044","15.9","*","*","0.112","0.00266","0.09","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10","7.9","*","15.6","*","*","*","*","*","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.01","7.88","0.0415","15.59","*","*","0.153","0.00266","0.09","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.4","7.7","*","16","*","*","*","*","*","*","wet","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.5","7.8","*","15.6","*","*","*","*","*","*","wet","4","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.41","7.73","0.0548","15.99","*","*","0.35","0.0035","0.07","*","wet","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.69","7.74","0.0372","15.81","*","*","0.12","0.0028","0.07","*","wet","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.5","7.69","0.0415","15.75","*","*","0.119","0","0.07","*","wet","4","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.68","7.77","0.057","15.79","*","*","0.143","0.00336","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.77","7.77","0.0443","15.91","*","*","0.123","0.00266","0.07","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.82","7.87","0.0381","16.05","*","*","0.127","0.0028","0.07","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.9","7.9","*","16.3","*","*","*","*","*","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.91","7.9","0.0502","16.27","*","*","0.143","0.00336","0.08","*","wet","4","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.6","7.7","*","15.4","*","*","*","*","*","*","dry","5","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.6","7.7","*","15.3","*","*","*","*","*","*","dry","5","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.75","7.66","0.049","15.53","*","*","0.28","0.00336","0.08","*","dry","5","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.8","7.69","0.0487","15.43","*","*","0.134","0.0035","0.07","*","dry","5","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","10.13","7.68","0.0288","14.34","*","*","0.114","0","0.07","*","dry","5","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.92","7.75","0.0493","15.64","*","*","0.142","0.00336","0.07","*","dry","5","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.88","7.71","0.0446","15.19","*","*","0.132","0.0035","0.07","*","dry","5","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.9","7.73","0.0415","15.37","*","*","0.137","0","0.07","*","dry","5","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.1","8","*","16","*","*","*","*","*","*","dry","5","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","10.1","7.99","0.093","16.03","*","*","0.109","0.00392","0.09","*","dry","5","wet","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.3","7.8","*","16.9","*","*","*","*","*","*","dry","5","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.3","7.8","*","16.6","*","*","*","*","*","*","dry","5","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.37","7.74","0.0459","16.75","*","*","0.132","0.0035","0.07","*","dry","5","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.41","7.74","0.04894","16.58","*","*","0.131","0.00448","0.06","*","dry","5","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.46","7.73","0.0332","16.44","*","*","0.121","0.00336","0.06","*","dry","5","dry","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.67","7.85","0.0484","17.18","*","*","0.181","0.00448","0.25","*","dry","5","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.53","7.81","0.0369","16.89","*","*","0.144","0.00364","0.07","*","dry","5","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.65","7.92","0.0415","16.98","*","*","0.15","0.00378","0.07","*","dry","5","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.7","8","*","16.6","*","*","*","*","*","*","dry","5","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","9.74","7.96","0.0415","16.61","*","*","0.147","0","0.09","*","dry","5","dry","0.319532683450454","2.56927814499865","Suisun"
"water","*","11.55","7.9","*","12.95","4.85","*","*","*","*","*","dry","5","dry","1.14840511162082","84.316574777162","Central"
"water","*","10.7","8.05","*","15.04","7.18","*","*","*","*","*","dry","5","dry","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.2","7.7","*","16.6","*","*","*","*","*","*","wet","5","wet","5.03726244534141","31.7753006222671","Confluence"
"water","*","9.2","7.7","*","16.4","*","*","*","*","*","*","wet","5","wet","1.29540878851541","79.3360469187675","Sacramento"
"water","*","9.21","7.67","0.0481","16.16","*","*","0.127","0.00336","0.06","*","wet","5","wet","5.03726244534141","31.7753006222671","Confluence"
